Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type
42864,48696,ICMP,765,Control,DNS
52040,21434,TCP,646,Data,DNS
48973,47133,TCP,1142,Control,HTTP
8137,20031,ICMP,1005,Control,FTP
55509,5152,ICMP,984,Data,FTP
41801,19629,UDP,512,Data,HTTP
62889,50054,UDP,1191,Data,DNS
45613,2799,ICMP,527,Control,DNS
59752,42693,TCP,1388,Control,FTP
51523,35455,TCP,425,Control,DNS
13158,15042,UDP,491,Control,FTP
18221,25776,ICMP,668,Control,HTTP
23041,49310,TCP,1127,Data,DNS
62891,50690,TCP,1292,Control,FTP
2887,60489,UDP,1026,Data,DNS
40397,45649,TCP,712,Control,FTP
54438,5822,ICMP,1310,Data,HTTP
20302,11700,UDP,1409,Data,HTTP
33051,29949,UDP,939,Data,HTTP
39597,14517,UDP,361,Control,DNS
58860,54145,ICMP,723,Control,FTP
63422,60576,TCP,1409,Data,DNS
16307,12755,ICMP,354,Control,HTTP
30570,50212,UDP,876,Control,FTP
25983,4283,UDP,254,Data,HTTP
58743,25449,UDP,1100,Data,FTP
52181,46157,TCP,574,Data,FTP
7193,39284,ICMP,167,Control,DNS
13042,10486,UDP,814,Control,DNS
29637,50534,UDP,121,Data,FTP
65102,45442,UDP,863,Control,HTTP
37151,12711,ICMP,187,Data,HTTP
51862,11423,UDP,1347,Data,DNS
54995,28483,ICMP,709,Control,FTP
42812,8453,ICMP,591,Control,DNS
16640,37110,TCP,1043,Data,DNS
5626,53262,UDP,226,Control,FTP
49851,27301,ICMP,631,Control,FTP
13197,54254,ICMP,609,Control,FTP
51264,36338,ICMP,1132,Data,HTTP
63406,8837,ICMP,941,Data,FTP
46797,24409,ICMP,525,Data,HTTP
1753,16107,UDP,706,Control,HTTP
59666,17863,UDP,1438,Control,DNS
45243,43947,TCP,558,Control,DNS
63488,7024,ICMP,1485,Data,DNS
26653,61828,UDP,1103,Control,DNS
16791,13072,ICMP,192,Data,FTP
23731,61767,UDP,1307,Data,DNS
21488,29508,ICMP,882,Control,FTP
13374,61256,TCP,1364,Control,HTTP
53218,46503,TCP,1368,Data,FTP
15241,28035,TCP,418,Data,HTTP
6583,50994,ICMP,878,Control,HTTP
1069,27287,UDP,1358,Data,HTTP
59250,54771,UDP,721,Data,HTTP
3816,53453,TCP,1084,Control,DNS
63776,58671,UDP,399,Control,HTTP
31713,13845,ICMP,980,Data,FTP
57940,21434,UDP,1144,Data,FTP
4033,47128,TCP,423,Control,FTP
39822,55660,ICMP,580,Data,FTP
21364,7436,ICMP,770,Data,FTP
54091,17340,UDP,308,Data,DNS
56288,33177,ICMP,438,Data,DNS
19944,51870,TCP,587,Control,DNS
61939,60901,TCP,665,Control,DNS
5617,22614,UDP,717,Control,HTTP
21202,63110,ICMP,1407,Control,FTP
6968,31173,TCP,1090,Data,FTP
45151,33913,ICMP,381,Control,FTP
61227,23677,ICMP,802,Data,FTP
9697,19057,TCP,574,Data,FTP
10057,33783,UDP,1152,Control,DNS
40356,33067,UDP,350,Data,DNS
24450,40274,TCP,1240,Data,DNS
9225,42698,TCP,591,Data,HTTP
8624,52609,TCP,497,Control,DNS
4605,46797,UDP,185,Control,HTTP
40124,23142,TCP,72,Data,FTP
47241,19795,TCP,363,Data,DNS
31749,56290,TCP,305,Control,DNS
39097,11281,UDP,1201,Data,FTP
47361,25611,UDP,638,Data,HTTP
62568,43207,ICMP,1428,Data,DNS
64069,17764,TCP,863,Control,DNS
47307,22903,ICMP,283,Data,FTP
49233,57114,TCP,556,Control,DNS
28163,54197,TCP,482,Control,DNS
44775,28188,TCP,1158,Control,FTP
24411,28104,UDP,791,Control,HTTP
4226,25237,ICMP,956,Data,HTTP
57999,55997,UDP,195,Control,DNS
52233,37396,TCP,960,Data,FTP
30658,5272,UDP,670,Control,DNS
16161,30577,TCP,432,Data,DNS
51950,27368,UDP,558,Control,FTP
13125,15039,UDP,969,Control,FTP
12234,19426,UDP,1089,Data,HTTP
29590,33277,TCP,992,Control,FTP
3205,25333,UDP,1418,Data,HTTP
24743,13223,UDP,1483,Control,FTP
7954,19350,TCP,1104,Data,FTP
12945,23374,ICMP,514,Data,HTTP
26735,50914,UDP,636,Control,FTP
54492,43337,UDP,358,Data,HTTP
47759,5860,UDP,1061,Control,FTP
12441,32298,UDP,107,Control,FTP
7389,39326,UDP,911,Data,HTTP
24913,3631,ICMP,1065,Control,HTTP
17262,5677,TCP,932,Control,DNS
14923,43610,TCP,308,Data,DNS
48806,52016,UDP,840,Control,FTP
10741,49591,TCP,802,Data,DNS
20194,30966,TCP,1163,Data,DNS
32012,18739,UDP,798,Control,HTTP
45316,47326,UDP,1335,Control,HTTP
60497,34238,TCP,452,Data,FTP
23834,31798,TCP,195,Data,FTP
15387,8058,UDP,1436,Control,FTP
30448,53028,ICMP,745,Data,FTP
27138,1927,ICMP,786,Control,HTTP
4130,3321,TCP,1073,Data,DNS
65267,65005,ICMP,1263,Data,DNS
46390,14372,TCP,448,Data,HTTP
22473,54864,UDP,1135,Data,HTTP
4779,28052,ICMP,1481,Control,HTTP
42942,53525,ICMP,666,Control,HTTP
3307,61720,ICMP,382,Data,HTTP
32420,21108,UDP,287,Control,FTP
19122,39915,TCP,1230,Control,FTP
54323,14787,TCP,782,Control,HTTP
25835,12903,ICMP,1029,Data,FTP
24373,57087,ICMP,603,Data,FTP
41087,20199,TCP,160,Data,FTP
41226,33992,TCP,1303,Control,FTP
43345,13162,UDP,924,Data,FTP
7435,8750,ICMP,1229,Control,FTP
14363,3300,UDP,1247,Data,FTP
46676,50401,UDP,457,Data,FTP
23227,13032,TCP,553,Data,HTTP
14718,15795,TCP,1458,Control,DNS
26947,63171,TCP,628,Control,DNS
6346,22873,TCP,108,Control,DNS
51197,25367,TCP,899,Control,HTTP
26858,8571,UDP,704,Data,HTTP
45792,35139,TCP,791,Data,FTP
48640,4219,TCP,1229,Data,HTTP
61497,8702,ICMP,325,Control,DNS
13564,18879,ICMP,835,Control,HTTP
60277,11283,TCP,721,Data,FTP
54090,21666,ICMP,1162,Control,FTP
56333,40268,TCP,920,Control,FTP
8385,58638,UDP,635,Data,DNS
9371,1702,TCP,861,Control,HTTP
52748,63070,ICMP,1443,Data,HTTP
48223,35528,UDP,362,Control,DNS
22097,7247,ICMP,680,Data,FTP
51126,19648,ICMP,1419,Control,FTP
64357,51201,ICMP,749,Control,DNS
2534,17726,TCP,1405,Data,FTP
19137,6345,ICMP,1225,Data,FTP
1420,17221,UDP,461,Control,HTTP
13818,50692,UDP,1428,Data,HTTP
52696,18842,TCP,1102,Control,FTP
61235,7520,TCP,1409,Data,HTTP
64399,12367,ICMP,960,Data,HTTP
38212,64601,ICMP,437,Control,HTTP
56320,10776,UDP,179,Control,FTP
7974,41891,TCP,1418,Control,HTTP
2353,22104,TCP,973,Control,HTTP
23774,55894,TCP,1147,Data,DNS
39635,52323,ICMP,516,Data,DNS
40598,57811,TCP,1128,Control,HTTP
57164,60884,UDP,635,Data,FTP
59006,65358,UDP,1009,Data,FTP
30804,33752,ICMP,104,Control,HTTP
17163,49109,TCP,98,Control,DNS
2926,32216,ICMP,1352,Data,DNS
7889,24799,UDP,163,Data,FTP
58233,22711,ICMP,765,Control,HTTP
15008,47008,ICMP,802,Control,FTP
24754,13087,TCP,1166,Control,DNS
8114,36998,ICMP,594,Control,HTTP
44284,9549,TCP,1343,Data,DNS
20881,10028,ICMP,601,Data,FTP
59764,51698,UDP,1457,Control,DNS
9595,13454,UDP,886,Data,HTTP
60733,41426,TCP,1066,Control,DNS
5831,64345,ICMP,748,Control,DNS
25358,53557,TCP,866,Control,HTTP
55490,38187,UDP,1188,Control,FTP
51526,5349,UDP,332,Control,DNS
16124,14481,TCP,670,Control,FTP
51666,26034,TCP,952,Data,FTP
36136,33406,UDP,1368,Control,HTTP
38108,65463,ICMP,633,Control,FTP
49635,23753,ICMP,674,Control,FTP
10239,55075,ICMP,76,Data,HTTP
61174,49338,TCP,389,Control,FTP
26202,31829,ICMP,125,Control,FTP
7221,13171,UDP,1062,Data,DNS
26397,43727,TCP,1364,Control,FTP
32905,10091,UDP,777,Data,HTTP
21766,8131,ICMP,1034,Control,DNS
57392,7988,TCP,461,Control,HTTP
56421,4827,ICMP,1493,Data,FTP
50339,51724,TCP,1071,Data,FTP
4900,57555,TCP,784,Data,DNS
34917,52647,TCP,140,Control,HTTP
34497,60605,ICMP,406,Control,DNS
31452,8374,TCP,1428,Data,HTTP
49970,3801,ICMP,678,Data,HTTP
61317,12952,ICMP,533,Data,DNS
55989,39707,ICMP,141,Data,DNS
12660,63702,ICMP,474,Control,DNS
43349,64818,ICMP,1400,Data,FTP
25677,60837,UDP,306,Data,DNS
17362,45740,TCP,1190,Data,FTP
23904,3357,TCP,1278,Data,DNS
23002,58847,ICMP,1136,Control,HTTP
31007,11764,TCP,643,Data,HTTP
11437,3931,UDP,986,Data,FTP
22874,59026,UDP,869,Control,FTP
28393,10011,UDP,635,Data,DNS
41300,54325,TCP,1266,Data,HTTP
62370,40226,TCP,1413,Control,FTP
14594,3829,UDP,769,Control,FTP
61873,52955,UDP,815,Control,DNS
59930,11829,TCP,926,Data,FTP
8950,56223,UDP,864,Data,HTTP
4968,12971,UDP,1233,Data,FTP
38558,27441,UDP,785,Data,HTTP
6053,40871,UDP,579,Data,FTP
17430,19421,TCP,1070,Data,HTTP
12634,28786,ICMP,960,Data,DNS
40715,41066,ICMP,164,Control,DNS
11435,1371,UDP,575,Control,DNS
45586,38892,UDP,989,Control,DNS
27876,42176,TCP,1095,Data,DNS
43178,19697,ICMP,1211,Data,DNS
11223,48571,UDP,1053,Data,HTTP
50299,3020,UDP,1429,Control,FTP
46984,24526,UDP,1388,Data,HTTP
52565,60715,TCP,263,Control,HTTP
57494,40155,ICMP,933,Control,HTTP
17261,58065,TCP,1036,Data,DNS
17737,22881,UDP,336,Control,DNS
62656,39057,ICMP,1379,Control,HTTP
43174,64151,TCP,286,Control,HTTP
59404,46881,TCP,843,Data,HTTP
28038,58907,ICMP,587,Control,DNS
20303,51565,ICMP,369,Data,FTP
43532,18608,TCP,395,Data,HTTP
19690,50657,UDP,116,Data,DNS
26115,8097,UDP,1085,Data,HTTP
42415,62610,TCP,1373,Data,HTTP
10709,34008,TCP,1357,Control,HTTP
3486,6440,TCP,498,Data,DNS
52039,29948,ICMP,660,Data,HTTP
7011,52447,ICMP,1078,Data,DNS
46924,27555,ICMP,83,Control,FTP
56442,28047,TCP,448,Control,HTTP
37416,24621,TCP,412,Control,DNS
59232,16159,TCP,1464,Data,DNS
19241,50829,TCP,869,Data,HTTP
8128,65305,UDP,1276,Data,DNS
41614,24260,UDP,882,Data,DNS
2664,3435,ICMP,1372,Data,FTP
17790,10758,ICMP,998,Data,DNS
52810,59551,TCP,238,Data,FTP
43284,29660,UDP,480,Data,DNS
54401,43433,TCP,1048,Data,HTTP
48372,12554,ICMP,1278,Data,FTP
38459,25529,TCP,1329,Data,DNS
1705,59230,UDP,248,Control,FTP
40020,21433,UDP,798,Data,HTTP
57210,38067,UDP,784,Data,FTP
57815,36363,ICMP,1443,Data,FTP
10067,13858,TCP,1124,Data,DNS
17083,62909,ICMP,1111,Control,DNS
8085,2484,ICMP,651,Data,FTP
20656,29442,UDP,369,Control,DNS
33551,5760,ICMP,1479,Control,FTP
20583,28109,TCP,268,Data,DNS
4107,16985,UDP,1169,Data,HTTP
10670,21065,UDP,771,Control,DNS
51424,10126,UDP,150,Data,FTP
4128,8531,TCP,1031,Data,FTP
42706,36414,TCP,1250,Control,DNS
22729,8144,TCP,1089,Control,DNS
24197,41365,UDP,1278,Data,HTTP
25151,24957,ICMP,712,Control,DNS
40289,46599,TCP,1019,Control,HTTP
11340,53586,UDP,1284,Data,DNS
13434,40724,ICMP,904,Control,FTP
27368,31156,ICMP,1261,Data,FTP
23057,45017,ICMP,1385,Control,DNS
57018,29464,TCP,658,Data,HTTP
54122,57041,UDP,1022,Data,DNS
53385,2812,UDP,366,Control,DNS
10421,4661,UDP,1274,Control,DNS
36969,7475,ICMP,1362,Data,FTP
5507,6852,TCP,399,Data,HTTP
44114,18058,TCP,382,Control,HTTP
33272,57030,UDP,896,Data,DNS
53209,41302,ICMP,1333,Data,HTTP
45204,64550,TCP,1068,Control,DNS
20718,59587,TCP,1433,Control,FTP
58236,42786,TCP,1497,Control,FTP
8091,1592,UDP,169,Data,DNS
56383,13028,UDP,1354,Control,HTTP
56398,6730,UDP,1417,Control,HTTP
14804,17568,ICMP,1054,Control,DNS
10182,52394,UDP,560,Data,DNS
17748,1030,UDP,1286,Data,DNS
30743,10358,UDP,506,Data,FTP
13097,52183,UDP,467,Data,FTP
5319,24397,TCP,915,Control,HTTP
22181,2983,TCP,409,Control,FTP
54740,64496,UDP,816,Data,HTTP
30772,44785,TCP,650,Control,HTTP
59773,5869,ICMP,550,Data,FTP
10972,59127,TCP,435,Control,HTTP
31180,51264,ICMP,542,Control,DNS
26953,39579,TCP,612,Control,HTTP
42443,29431,TCP,1105,Control,HTTP
43064,26431,ICMP,1174,Control,FTP
17406,50898,ICMP,199,Data,DNS
26876,42801,UDP,822,Control,HTTP
44134,16142,TCP,196,Data,HTTP
23348,38925,UDP,1259,Data,DNS
2930,46822,TCP,757,Data,FTP
65221,65218,UDP,454,Data,FTP
35424,17057,TCP,849,Control,HTTP
58447,13655,TCP,1474,Control,HTTP
23583,59681,ICMP,124,Control,DNS
53526,41201,TCP,1180,Control,DNS
63897,35707,TCP,1093,Data,HTTP
18325,32602,TCP,1071,Control,DNS
1757,10495,TCP,605,Control,HTTP
23846,1568,ICMP,792,Control,HTTP
51576,18024,ICMP,329,Data,HTTP
35630,3258,TCP,244,Control,DNS
19943,53549,ICMP,1284,Data,DNS
9792,46114,ICMP,1254,Data,HTTP
4970,62601,ICMP,612,Data,HTTP
28747,43057,TCP,256,Data,FTP
30074,46058,ICMP,874,Data,FTP
39836,49635,ICMP,416,Control,HTTP
39889,54737,UDP,209,Control,DNS
46304,64444,UDP,766,Control,HTTP
55682,28629,UDP,729,Data,DNS
36011,64929,ICMP,866,Control,HTTP
16816,58574,UDP,1419,Control,DNS
2126,4553,ICMP,1114,Data,DNS
23955,25765,TCP,129,Control,HTTP
3101,59623,ICMP,254,Control,DNS
15376,27885,TCP,346,Control,HTTP
35923,40031,TCP,690,Data,DNS
15019,7092,ICMP,1080,Data,DNS
29602,45477,UDP,450,Control,DNS
44257,48909,ICMP,478,Data,DNS
3190,14087,TCP,755,Data,DNS
31091,46455,UDP,786,Control,DNS
5465,49654,UDP,1234,Data,DNS
46787,51603,ICMP,919,Control,DNS
23807,30467,ICMP,1414,Control,FTP
61322,24378,TCP,1331,Control,DNS
59392,21068,ICMP,227,Data,FTP
55091,23422,ICMP,465,Control,DNS
9910,7200,ICMP,1364,Control,FTP
43434,4119,UDP,1345,Data,HTTP
49879,44765,UDP,409,Data,DNS
54163,43692,ICMP,476,Data,FTP
61706,60171,ICMP,156,Control,DNS
52030,47088,TCP,1069,Control,HTTP
46382,42973,TCP,1116,Control,FTP
40277,62946,ICMP,1479,Control,HTTP
37839,24528,UDP,142,Control,HTTP
12031,24972,ICMP,829,Control,FTP
25336,3722,TCP,350,Data,FTP
39898,32964,TCP,715,Data,FTP
11909,45210,TCP,155,Data,HTTP
28944,13733,TCP,648,Data,HTTP
34707,29313,TCP,1338,Control,HTTP
38962,50854,ICMP,995,Data,DNS
37523,35324,TCP,855,Control,DNS
59459,3295,TCP,84,Control,HTTP
41523,55032,TCP,275,Control,HTTP
60609,39417,UDP,170,Control,FTP
54175,5549,TCP,197,Data,HTTP
27524,52973,UDP,1271,Data,FTP
47132,51298,TCP,1388,Control,DNS
5197,58713,TCP,175,Data,HTTP
44262,38034,UDP,1449,Data,DNS
61614,29317,UDP,87,Control,FTP
6663,48618,TCP,675,Data,HTTP
40967,37069,UDP,864,Data,DNS
3476,4046,ICMP,744,Data,HTTP
8475,56037,TCP,480,Data,HTTP
12929,14490,ICMP,1404,Control,FTP
1971,4025,UDP,175,Data,HTTP
50588,16889,ICMP,780,Data,DNS
15943,64870,ICMP,80,Control,FTP
33333,43351,TCP,878,Data,DNS
46166,57668,UDP,464,Data,DNS
33228,31867,UDP,123,Control,HTTP
16651,54568,TCP,229,Data,HTTP
39521,32375,ICMP,562,Control,DNS
31416,18681,ICMP,1341,Control,DNS
10668,46538,ICMP,828,Control,HTTP
61354,25364,TCP,683,Control,HTTP
52445,7122,UDP,1487,Control,DNS
28779,27615,TCP,343,Data,HTTP
3783,44823,UDP,261,Control,DNS
15808,61925,UDP,313,Data,DNS
54196,27018,UDP,1343,Control,DNS
20679,38245,ICMP,142,Data,FTP
4452,47447,ICMP,1454,Data,FTP
6753,30762,TCP,402,Data,DNS
41619,7630,UDP,1177,Data,FTP
1315,12194,ICMP,730,Data,FTP
7589,18581,TCP,919,Data,HTTP
19116,3303,UDP,759,Control,HTTP
44697,56678,TCP,992,Control,FTP
12800,11068,UDP,678,Control,FTP
64116,27821,UDP,651,Control,HTTP
52436,65460,ICMP,651,Control,HTTP
40318,57243,TCP,900,Control,FTP
11609,58953,ICMP,481,Data,HTTP
48196,63576,UDP,725,Data,DNS
6608,24592,UDP,1360,Data,HTTP
27501,16062,ICMP,583,Control,HTTP
36967,46951,UDP,671,Data,DNS
57632,38053,ICMP,1489,Data,HTTP
30311,36138,TCP,752,Control,HTTP
25234,29174,UDP,375,Data,HTTP
40678,3237,ICMP,498,Data,DNS
25469,57209,ICMP,245,Control,HTTP
27376,53687,ICMP,1408,Control,HTTP
8057,34815,ICMP,1412,Data,DNS
28333,53321,ICMP,1039,Data,HTTP
6715,30566,TCP,1293,Data,HTTP
11099,10391,TCP,1346,Control,DNS
8953,19328,UDP,1394,Control,HTTP
61938,48288,TCP,772,Data,HTTP
57549,26596,ICMP,710,Control,DNS
59246,24932,ICMP,495,Data,FTP
43270,11191,ICMP,585,Data,FTP
32654,28417,UDP,428,Control,DNS
18486,44621,TCP,833,Control,DNS
64066,16026,TCP,750,Control,DNS
8033,58710,TCP,555,Data,DNS
15586,61329,UDP,897,Control,DNS
44783,40587,ICMP,126,Data,FTP
5458,34828,UDP,1245,Control,FTP
64577,49839,UDP,1461,Data,FTP
53322,60731,ICMP,1029,Data,DNS
49438,28106,UDP,1318,Data,HTTP
29817,9087,UDP,737,Data,HTTP
56400,23783,UDP,1019,Data,DNS
11195,7550,UDP,927,Data,DNS
19418,39396,TCP,1444,Control,HTTP
7325,23106,ICMP,316,Control,FTP
5524,52781,ICMP,1340,Data,HTTP
14397,48532,ICMP,644,Control,DNS
15624,6822,UDP,600,Data,HTTP
40117,50940,UDP,282,Data,HTTP
9246,56765,TCP,741,Control,FTP
9046,30403,UDP,270,Data,DNS
65432,63233,TCP,462,Control,DNS
24234,55141,TCP,254,Control,DNS
1142,30127,UDP,1231,Control,FTP
52210,58380,UDP,897,Data,DNS
57208,58172,UDP,510,Control,HTTP
1160,8296,ICMP,577,Data,DNS
43069,5604,UDP,589,Control,FTP
22546,59374,UDP,108,Control,FTP
13572,47739,ICMP,643,Data,HTTP
22937,19553,TCP,464,Data,FTP
16756,59316,UDP,571,Data,DNS
46479,43378,ICMP,899,Data,HTTP
50118,60773,ICMP,501,Control,FTP
1217,28596,UDP,349,Data,DNS
27910,39647,ICMP,122,Data,HTTP
53433,35462,ICMP,311,Data,DNS
59079,47134,UDP,452,Control,DNS
60494,46785,UDP,480,Data,HTTP
61951,55049,UDP,1356,Control,FTP
37624,24586,TCP,1433,Data,DNS
31447,20755,UDP,1450,Data,FTP
7297,64871,TCP,1359,Control,FTP
41158,32498,ICMP,1089,Data,HTTP
53775,6000,UDP,720,Data,HTTP
32329,16688,UDP,1332,Data,FTP
50989,3564,UDP,508,Control,FTP
13211,48282,UDP,554,Data,HTTP
15218,14990,UDP,501,Data,HTTP
50983,45974,UDP,493,Control,FTP
14963,55278,ICMP,1350,Control,FTP
35615,16800,TCP,750,Data,HTTP
22403,20603,ICMP,1204,Control,DNS
48056,2869,TCP,162,Control,HTTP
20273,50036,ICMP,659,Data,DNS
12682,19852,ICMP,996,Control,DNS
17781,41112,UDP,149,Data,DNS
51530,54777,ICMP,728,Control,FTP
7387,23831,UDP,1466,Control,DNS
24945,47622,TCP,684,Data,FTP
35934,47981,UDP,1291,Control,HTTP
15149,44405,TCP,1393,Data,HTTP
12179,49072,UDP,1120,Control,DNS
12245,17195,ICMP,724,Data,HTTP
9529,39267,UDP,280,Data,HTTP
43605,38085,UDP,1046,Data,DNS
53442,37300,TCP,697,Control,FTP
34919,47281,TCP,364,Data,DNS
17796,45266,TCP,1077,Control,DNS
17541,25121,ICMP,794,Data,FTP
8329,13401,UDP,778,Control,FTP
20917,33902,UDP,575,Control,FTP
20828,4722,UDP,1020,Data,FTP
33632,19773,TCP,485,Data,DNS
19781,17636,TCP,500,Control,HTTP
14845,9028,ICMP,113,Data,HTTP
55403,49569,TCP,1353,Control,DNS
51764,50796,UDP,1038,Control,FTP
20569,23751,ICMP,745,Data,HTTP
35969,46384,ICMP,551,Data,FTP
5415,35222,UDP,365,Control,HTTP
40633,32563,UDP,153,Control,FTP
62012,39127,ICMP,264,Data,FTP
5244,17304,UDP,124,Data,FTP
46430,7351,TCP,821,Control,DNS
6845,54515,TCP,634,Data,FTP
23613,22093,TCP,1400,Control,DNS
57241,39908,TCP,984,Data,DNS
44090,5277,ICMP,372,Data,HTTP
40617,13111,ICMP,643,Control,DNS
62280,61103,ICMP,849,Data,DNS
34483,37558,UDP,180,Data,HTTP
60905,21076,UDP,1352,Data,FTP
60575,61121,ICMP,1245,Control,HTTP
25767,34376,TCP,1209,Data,FTP
46074,64054,UDP,446,Control,FTP
26818,61130,ICMP,1218,Control,DNS
44611,60211,UDP,456,Control,FTP
40759,11778,ICMP,689,Data,FTP
2395,14712,TCP,1478,Data,FTP
24629,51960,UDP,617,Data,FTP
22043,24823,TCP,830,Data,FTP
9414,32915,TCP,383,Data,FTP
37972,3306,TCP,351,Control,FTP
40956,46221,ICMP,645,Data,DNS
2393,37182,UDP,798,Data,HTTP
39446,15879,UDP,1317,Data,DNS
5672,15505,TCP,784,Data,DNS
27096,2627,ICMP,376,Data,FTP
50002,60461,ICMP,255,Data,HTTP
2524,30292,ICMP,763,Data,DNS
35911,8960,ICMP,213,Data,HTTP
63867,18757,TCP,878,Control,HTTP
5506,16087,TCP,1288,Data,HTTP
45025,34010,UDP,322,Data,HTTP
43357,26045,ICMP,135,Control,FTP
12391,34705,ICMP,777,Control,FTP
45608,50382,TCP,583,Control,FTP
6972,34952,TCP,537,Data,FTP
36745,8472,ICMP,1247,Data,HTTP
20158,2897,UDP,1108,Data,FTP
4160,23939,UDP,1224,Data,FTP
58034,52356,UDP,219,Control,DNS
1825,48647,ICMP,776,Data,DNS
2272,39268,ICMP,1197,Data,DNS
17659,2539,TCP,911,Data,FTP
58379,50145,ICMP,894,Control,FTP
28178,21030,TCP,1011,Data,HTTP
39629,31918,UDP,634,Data,DNS
62345,6050,ICMP,521,Data,HTTP
34809,34134,TCP,692,Control,HTTP
11139,26695,TCP,1396,Data,FTP
18012,59876,UDP,1090,Control,FTP
58294,43529,TCP,1323,Control,FTP
10698,36675,UDP,874,Control,DNS
54769,16080,TCP,1286,Data,DNS
41217,36985,ICMP,1173,Control,DNS
58444,34068,ICMP,565,Control,FTP
35647,11345,TCP,624,Control,DNS
20212,64329,ICMP,588,Data,FTP
